listing_id,host_id,host_since,name,neighbourhood,district,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
13977576,64903899,2016-03-29,Habitación individual es Barcelona,Hostafrancs,Sants-Montjuïc,Private room in rental unit,Private room,1.0,12.0,1,0.0
42105584,333969184,2020-02-06,Habitación M&D,la Prosperitat,Nou Barris,Private room in rental unit,Private room,,25.0,0,
33727898,251710733,2019-03-28,Spacious and bright apartment next to Plaza España,Sant Antoni,Eixample,Entire rental unit,Entire home/apt,3.0,300.0,30,5.0
44995311,363074093,2020-08-18,"Single Room, City Center, Private Bathroom",la Dreta de l'Eixample,Eixample,Private room in hostel,Private room,1.0,83.0,11,4.82
15763812,101927904,2016-10-31,HABITACIÓN PLAZA ESPAÑA,el Poble Sec,Sants-Montjuïc,Private room in rental unit,Private room,1.0,38.0,70,4.75
803393140432518554,127482361,2017-04-25,New Amazing 2 bedroom apartment in Rambla del,el Poblenou,Sant Martí,Entire rental unit,Entire home/apt,2.0,125.0,1,4.0
780199485511285785,280611660,2019-07-30,Cozy apartment very central,l'Antiga Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,2.0,93.0,5,5.0
838145051667285647,3775349,2012-10-06,2 bedroom city center apartment in Barcelona,el Raval,Ciutat Vella,Entire rental unit,Entire home/apt,2.0,99.0,0,
38091474,1391607,2011-11-10,Cosy apartment next to Sagrada Familia I,el Camp de l'Arpa del Clot,Sant Martí,Entire rental unit,Entire home/apt,1.0,107.0,37,4.05
23035068,130367324,2017-05-15,SIMPLES HABITACION DOBLE BARCELONA,Navas,Sant Andreu,Private room in condo,Private room,1.0,30.0,1,3.0
563588511729472297,36607755,2015-06-24,Bonita habitación doble en Gràcia,la Vila de Gràcia,Gràcia,Private room in rental unit,Private room,1.0,29.0,0,
731044538005221854,10704,2009-03-19,3 Bedroom apartment Sant Pau,el Baix Guinardó,Horta-Guinardó,Entire serviced apartment,Entire home/apt,3.0,127.0,2,3.0
42703123,21002274,2014-09-06,STUNNING APARTMENT IN EIXAMPLE,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,1.0,140.0,0,
51444586,64449113,2016-03-25,Nice room in the center of Barcelona!!!,el Raval,Ciutat Vella,Private room in rental unit,Private room,1.0,41.0,0,
832581313850426046,12962981,2014-03-09,Habitación en Sagrada Familia,la Dreta de l'Eixample,Eixample,Private room in rental unit,Private room,1.0,44.0,0,
46524035,396363,2011-02-17,072. Fútbol 5 Apartment,les Corts,Les Corts,Entire rental unit,Entire home/apt,2.0,183.0,10,3.8
39183867,35712072,2015-06-13,Barcelona - Plaza Lesseps,la Vila de Gràcia,Gràcia,Entire rental unit,Entire home/apt,2.0,60.0,2,4.0
4274290,5414684,2013-03-11,Apartment Marti,Navas,Sant Andreu,Entire rental unit,Entire home/apt,3.0,123.0,173,4.7
50303247,1391607,2011-11-10,Cozy Diagonal Apartment,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,1.0,102.0,7,4.14
19536692,134698146,2017-06-12,"Parlament, modern 2bed in Sant Antoni",Sant Antoni,Eixample,Entire rental unit,Entire home/apt,2.0,149.0,76,4.24
14941403,89109224,2016-08-10,"SM5 Beach- 2 bedroom, dressing room, balcony, WIFI",la Barceloneta,Ciutat Vella,Entire rental unit,Entire home/apt,2.0,85.0,9,4.44
39747175,265193861,2019-05-30,Comfy Studio in gothic wifi included,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire rental unit,Entire home/apt,,60.0,6,3.67
826058899941662636,21726991,2014-09-24,Cathedral Penthouse. (Temporal). m,el Barri Gòtic,Ciutat Vella,Entire rental unit,Entire home/apt,1.0,60.0,0,
26813253,5264883,2013-02-28,Modern penthouse private terrace,el Putxet i el Farró,Sarrià-Sant Gervasi,Room in serviced apartment,Hotel room,1.0,60.0,5,4.8
597647849805927508,130091939,2017-05-13,...HABITACION PRIVADA EN BARCELONA.,el Camp de l'Arpa del Clot,Sant Martí,Private room in rental unit,Private room,1.0,20.0,1,5.0
49333438,116349526,2017-02-14,DIA-P2 · Three-Bedroom apartment near Sagrada Família! #2,el Fort Pienc,Eixample,Entire rental unit,Entire home/apt,3.0,191.0,6,4.33
673959383128736800,468818247,2022-07-11,Skatehouse room Casa Plena,la Vila de Gràcia,Gràcia,Private room in rental unit,Private room,1.0,41.0,5,4.2
50862112,47171261,2015-10-22,Lodging Apartments Sardenya 3,la Sagrada Família,Eixample,Entire serviced apartment,Entire home/apt,4.0,146.0,6,4.5
839793344150209203,294265812,2019-09-12,*4 practical room in nice place,el Barri Gòtic,Ciutat Vella,Private room in rental unit,Private room,1.0,47.0,0,
563538751160608752,36607755,2015-06-24,Habitación doble con balcón en Gràcia,la Vila de Gràcia,Gràcia,Private room in rental unit,Private room,1.0,29.0,0,
53836569,333355801,2020-02-04,Triple by The Moods Oasis,la Vila de Gràcia,Gràcia,Room in hotel,Private room,1.0,174.0,5,4.0
