station_id,station_name,station_latitude,station_longitude
BK-A3,College Ave at Alcatraz Ave,37.851,-122.253
BK-A7,Vine St at Shattuck Ave,37.88,-122.27
BK-B7,Virginia St at Shattuck Ave,37.877,-122.27
BK-B9,Hearst Ave at Euclid Ave,37.875,-122.261
BK-C1,Fifth St at Delaware St,37.87,-122.3
BK-C5,North Berkeley BART Station,37.874,-122.283
BK-C6,MLK Jr Way at University Ave,37.872,-122.273
BK-C7,Shattuck Ave at Hearst Ave,37.874,-122.268
BK-C8,University Ave at Oxford St,37.872,-122.266
BK-C9,Euclid Ave at Hearst Ave,37.875,-122.26
BK-D1,Addison St at Fourth St,37.866,-122.299
BK-D10,Bancroft Way at College Ave,37.869,-122.254
BK-D2,10th St at University Ave,37.869,-122.293
BK-D4,West St at University Ave,37.87,-122.287
BK-D5,California St at University Ave,37.871,-122.28
BK-D7-1,Downtown Berkeley BART,37.87,-122.268
BK-D7-2,Berkeley Civic Center,37.869,-122.271
BK-E10,Haste St at College Ave,37.866,-122.254
BK-E2,Channing Way at San Pablo Ave,37.863,-122.29
BK-E3,Channing Way at San Pablo Ave,37.863,-122.29
BK-E7,Channing Way at Shattuck Ave,37.866,-122.267
BK-E8,Fulton St at Bancroft Way,37.868,-122.266
BK-E9-1,Bancroft Way at Telegraph Ave,37.869,-122.259
BK-E9-2,Haste St at Telegraph Ave,37.866,-122.259
BK-F10,Derby St at College Ave,37.862,-122.254
BK-F2,Ninth St at Parker St,37.859,-122.291
BK-F7,Milvia St at Derby St,37.86,-122.269
BK-F8,Parker St at Fulton St,37.862,-122.265
BK-F9,Telegraph Ave at Carleton St,37.862,-122.259
BK-G4,San Pablo Park,37.856,-122.283
BK-G7,Oregon St at Adeline St,37.858,-122.268
BK-G8,Ellsworth St at Russell St,37.858,-122.262
BK-H10,Russell St at College Ave,37.858,-122.253
BK-H3,Ninth St at Heinz Ave,37.854,-122.29
BK-H6,Ashby BART Station,37.852,-122.27
BK-H8,Fulton St at Ashby Ave,37.856,-122.264
BK-H9,Telegraph Ave at Ashby Ave,37.856,-122.26
BK-I5,Woolsey St at Sacramento St,37.851,-122.278
BK-I6,Harmon St at Adeline St,37.85,-122.271
GGP-L1.5,Lloyd Lake,37.77,-122.482
GGP-L1.7,30th Ave,37.771,-122.49
L1.1,Bowling Green,37.769,-122.459
L1.11,Chain O' Lakes,37.768,-122.502
L1.20,South Lake,37.765,-122.501
L1.4,Stowe Lake,37.771,-122.477
LW1.6,Hellman Hollow,37.77,-122.485
LYFT-SF01,Howard Internal Monolith,37.775,-122.414
LYFT-SF02,Firmware Test Charging Internal Howard ,37.751,-122.403
OK-A2,Telegraph Ave at Alcatraz Ave,37.85,-122.26
OK-A4,62nd St at Claremont Ave,37.849,-122.253
OK-B1,Alcatraz Ave at Shattuck Ave,37.85,-122.266
OK-B2,Bushrod Park,37.847,-122.265
OK-B3,Telegraph Ave at 58th St,37.844,-122.261
